Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
3.268238444,4.220048794,3.811321977,4.962152126,M1S
3.981982211,3.798322745,3.921524778,4.901931385,M1T
2.20791198,4.677953263,3.7073628,4.931238874,M1V
2.981990018,4.04623005,3.737099805,4.875182662,M1W
1.103992455,3.922037095,1.970952531,5,M1X
3.498188406,2.99384058,3.601409018,4.918800322,M2H
4.185937845,3.249757871,2.758737872,4.821113622,M2J
4.060389938,1.777704562,3.12775689,4.860072096,M2K
2.973976222,2.218824306,2.890488771,4.590488771,M2L
4.129220614,2.941976249,3.409043468,4.857634481,M2M
4.475320984,1.839136832,2.576665283,4.847361074,M2N
2.799537903,1.455275608,3.22323688,4.532291781,M2P
4.524988382,3.368531114,3.088483799,4.582442651,M2R
3.840829035,3.582243049,2.386149201,4.499622594,M3A
2.361529809,2.027221597,3.266591676,4.423022122,M3B
4.440432172,3.355597514,3.176172869,4.456166575,M3C
3.963318824,2.491851577,2.354973989,4.432450366,M3H
4.135963676,4.467543448,2.500986379,4.856395804,M3J
4.209549368,3.285810131,2.467963771,4.790226993,M3K
3.025273029,4.688604266,2.954142604,4.707473269,M3L
3.956207213,4.518596937,2.517114828,4.612075658,M3M
3.845552124,4.960989317,2.43164903,4.943648423,M3N
4.346723377,3.631852552,2.984404537,4.635055661,M4A
3.943178118,3.795397807,2.498751764,3.950504722,M4B
4.166638517,3.518853186,2.091732466,3.855360385,M4C
3.784323671,2.234013499,1.738207639,3.179587219,M4E
3.224020033,1.500096311,2.095637099,3.561253973,M4G
4.633285459,4.34839187,2.133873003,4.840492667,M4H
3.864186142,3.20349016,2.360752358,3.791692292,M4J
4.233781098,2.606047828,2.208571773,3.51966749,M4K
4.203556031,2.906590775,1.708726648,3.547099101,M4L
4.534050036,2.997881864,1.897530173,3.943569659,M4M
3.026697822,1.357213881,2.686785324,3.650541911,M4N
4.553503575,1.748518897,1.94659857,3.766251277,M4P
3.726915185,1.529411765,1.725718194,3.784712722,M4R
4.348698885,1.467587184,2.138714817,3.754965481,M4S
4.074119787,1.509029492,3.349811615,3.061972197,M4T
4.746236012,1.166225839,2.972227874,3.08560529,M4V
4.323614511,1.295014467,3.285277098,3.572668596,M4W
4.921776711,3.96547419,2.057719088,4.413445378,M4X
4.917406875,1.872543214,1.803118743,4.171700082,M4Y
4.95692839,3.045853518,1.783370905,4.118950549,M5A
5,1.974910755,1.454824275,4.393332998,M5B
5,1.438173041,2.067025622,3.983104345,M5C
5,1.491392253,1.617305575,4.294515064,M5E
5,2.052855407,1.20909275,5,M5G
5,1,1,4,M5H
4.796892871,1.115611895,2.119471979,4.27073008,M5J
2.713355279,1.663197763,2.09086404,3.910056281,M5M
3.291961156,2.142561627,1.946331092,3.995000862,M5N
4.225243467,1.353774949,2.301128146,3.573184842,M5P
4.94886155,1.581252295,2.749173705,3.267597013,M5R
4.8989438,2.335962968,2.588733864,4.30264702,M5S
4.958419058,3.677097997,2.445749865,4.555766107,M5T
5,1.173581044,1.068153192,3.999547351,M5V
5,2.514099783,2.34967462,3.82516269,M5W
3.939336791,3.843155744,2.52970297,4.588165959,M6A
3.844408669,3.343022389,2.606862833,4.304951853,M6B
3.968881378,2.979350425,2.172203446,3.895268321,M6C
3.957635196,4.403606903,2.687167653,4.166173372,M6E
4.652508867,2.932001861,2.169137741,3.498255713,M6G
4.597225146,3.369047118,1.855383385,3.916985978,M6H
4.877513711,2.389820629,1.846382111,3.616220226,M6J
4.929347431,2.755468353,1.491715718,4.055046872,M6K
4.028200831,4.499453472,3.121729942,4.51005611,M6L
4.11913815,4.626503771,2.448004322,4.677761848,M6M
3.886366919,4.579959563,2.282433929,4.176093968,M6N
4.64955711,2.266130536,1.817902098,3.579044289,M6P
4.575838755,2.06420887,1.246970277,3.158438576,M6R
3.785446596,1.763500085,2.183180966,3.260660951,M6S
5,2.002430713,2.054762529,4.470366752,M7A
4.720756945,3.022494658,2.522044764,3.823670003,M8V
3.936435596,3.116958503,2.557255937,3.305301031,M8W
3.345803153,1.407839795,3.04303366,2.855475075,M8X
3.963906406,2.233903087,2.278377033,3.766636243,M8Y
3.874071322,1.824046558,2.573551263,3.426778933,M8Z
3.678580801,2.581404503,2.904030861,3.874140555,M9A
3.325290776,2.226102245,2.675953476,3.746524209,M9B
3.767977589,2.910462235,3.124146105,3.675703049,M9C
3.403388152,4.624388097,3.255211485,4.714152137,M9L
3.382969292,4.505037479,2.38579028,4.819980656,M9M
4.039255081,4.341318291,2.528861757,4.507959199,M9N
3.592367412,3.031054158,3.507950613,3.612711627,M9P
3.826516778,3.880070049,3.116851203,4.256157496,M9R
3.193045156,4.76031522,2.570986937,4.964689695,M9V
3.314959878,4.153157241,2.47795663,4.748161062,M9W
2.6317388,2.845013176,3.702286837,1.519786502,N0A
1.865764986,1.979326264,2.504241506,2.316237467,N0B
2.360171431,3.480339533,3.595431282,1.474847085,N0C
2.11824222,2.867614314,3.403213452,1.809508541,N0E
2.240787556,3.211097374,3.269305999,1.637213293,N0G
2.821378947,2.348330219,4.258364876,1.343538882,N0H
1.672929585,2.971714941,2.596772276,2.133423936,N0J
2.059345334,2.92848991,2.512813197,1.859988587,N0K
2.133285724,2.423602545,3.070408362,1.682107382,N0L
2.484677839,2.420852001,3.397262308,1.430629471,N0M
2.35685103,2.383561042,3.575253701,1.694679963,N0N
2.348864388,3.410664752,3.76656951,1.669384249,N0P
1.977599221,2.234660336,3.159499026,1.941060993,N0R
2.507114192,3.360087559,3.885443269,1.682719202,N1A
1.934569248,1.19738277,1.703380589,3.389312977,N1C
3.173960435,2.399986085,2.266077599,2.703494979,N1E
3.379089909,2.080904592,2.549353863,3.53962744,N1G
3.37303732,2.589289814,2.504459634,2.792596125,N1H
1.926206722,2.640552607,1.753938169,3.775756044,N1K
2.668728558,1.259382472,1.646428943,3.941314066,N1L
2.716960352,2.025146843,2.886242658,1.990363436,N1M
1.559125157,2.912620343,1.390330682,3.543323566,N1P
3.333621125,3.828756739,2.787630559,2.94263814,N1R
3.033969705,2.76947208,2.54732455,2.438379493,N1S
1.640758646,2.495138926,1.451628327,4.161026404,N1T
2.93885387,2.566473619,2.561290116,3.347966595,N2A
3.649408627,3.114042208,3.405612245,2.362534787,N2B
4.659632976,4.050507885,2.548908468,4.055558673,N2C
2.738508538,2.657157886,1.75880068,3.911042324,N2E
4.978798158,3.538708505,2.571056457,3.204385752,N2G
4.49815782,3.282885947,2.657516499,2.343900563,N2H
2.937379495,2.083431134,2.335023891,3.599002431,N2J
2.213145007,1.646568245,1.821420967,3.526900419,N2K
4.218407526,3.091488055,3.060711861,3.606569036,N2L
4.141403363,3.695747228,2.541512675,3.565951798,N2M
2.252673342,2.245645192,2.116077839,3.435934253,N2N
2.222648214,1.756966523,1.644239761,3.637460258,N2P
2.239263804,1.037782433,1.096139458,3.866078109,N2R
2.162081186,1.565689433,1.664658505,4.300998711,N2T
2.210935866,1.410325064,1.955152073,3.929088399,N2V
2.769840737,1.998387205,3.885222767,1.714736913,N2Z
1.91102582,1.681288007,2.263433357,2.111454491,N3A
1.866063509,2.745964165,2.372242919,2.475252794,N3B
2.055582734,1.9127686,1.780679637,2.982124713,N3C
1.541082164,1.541082164,4.541082164,2.541082164,N3E
3.775662088,3.465381418,3.337833023,2.230315506,N3H
2.328865613,2.000088763,3.199582816,1.69301438,N3L
2.0926632,3.089659157,2.147429232,3.141305604,N3P
2.788293291,3.005826075,3.241304729,2.501841351,N3R
3.864092764,4.249659908,2.839152685,2.568309905,N3S
2.746504237,2.943940678,2.545169492,2.866800847,N3T
1.204459203,1.937855787,2.891840607,2.312618596,N3V
1.935395814,2.153486641,2.711142361,2.00955414,N3W
3.093114093,3.337869338,4.16005166,1.51997102,N3Y
2.627297176,3.587404751,3.834603317,1.561631555,N4B
2.566144065,3.616537822,3.300520194,1.946355032,N4G
3.357395781,3.221084893,3.953045496,1.54310114,N4K
2.937010078,2.700821202,4.492067936,1.367767824,N4L
3.117344235,3.135059429,4.496555379,1.433492316,N4N
3.04287078,2.821812896,2.906491365,1.950728977,N4S
2.529528209,1.9486968,2.411002969,2.698119433,N4T
3.738833848,2.258567484,2.999025499,2.871365925,N4V
2.351660795,3.436776548,2.394438853,2.128145445,N4W
2.446696747,2.200821604,3.047275911,1.574786181,N4X
3.400046926,3.176208353,3.047630221,2.819099015,N4Z
3.713811758,2.919060286,3.283677556,1.828137609,N5A
2.596067331,2.615477936,2.412980842,1.698680685,N5C
1.962101512,3.972647597,2.938023693,2.668207647,N5H
2.720383787,2.122772665,4.027021735,1,N5L
2.732779137,2.56933597,3.107431368,2.159454296,N5P
3.150861916,3.100244239,3.549715054,2.167887862,N5R
3.295983087,3.960757624,2.444322164,3.220828868,N5V
4.109683204,4.146219366,2.999066049,2.365062762,N5W
2.586930703,1.666425695,2.711298151,3.861096768,N5X
3.95822871,3.5468519,2.441086054,3.465679487,N5Y
3.994819701,4.429357724,2.896313084,3.008863167,N5Z
4.642354178,2.599894903,2.965790857,2.830057803,N6A
5,3.076861425,2.664582832,2.885308969,N6B
3.870600067,2.943284674,2.643586383,2.205101637,N6C
3.029594094,3.728045855,2.986978599,3.89395969,N6E
3.10153569,2.126458476,2.322087337,3.96426733,N6G
3.395719466,2.470823384,2.660864951,3.759317237,N6H
4.174411897,3.804820204,3.567591821,3.030607012,N6J
2.858486318,2.125460277,3.268987258,3.022013828,N6K
3.832221983,2.074209507,3.167778017,3.590234459,N6L
1.826404085,1.752370532,2.148674933,3.088621444,N6M
3.594367885,3.98981426,4.793289395,2.58657879,N6N
2.845741163,1.407584332,2.699860366,3.042772103,N6P
3.247686784,2.732081204,4.100676702,1.296575059,N7A
2.5804267,2.805285057,3.173734065,1.767528329,N7G
3.330999883,3.574378719,3.786489324,2.197254307,N7L
3.087902571,3.491989175,3.71120433,2.011556157,N7M
2.953878121,2.667098137,3.641925265,2.571924924,N7S
4.003711833,3.664934478,3.627041508,2.006423084,N7T
3.503399209,2.668142292,4.433043478,1.614624506,N7V
4,1.177879133,4.803116686,1.656784493,N7W
2.284371328,1,4.673325499,1.326674501,N7X
3.218587837,3.691563174,4.172817911,1.668007696,N8A
2.573195679,4.108738733,3.629546762,2.80812504,N8H
2.519090049,2.63641794,3.422071781,1.544725969,N8M
2.207656839,2.133603465,3.130417773,2.619281822,N8N
2.693043168,2.00941848,3.822689975,3.025258651,N8P
2.205263573,3.218816484,3.492868962,3.473957923,N8R
4.002651566,3.240932992,3.987596063,2.140622893,N8S
3.701812953,4.307842432,3.663704997,3.253505213,N8T
3,3,5,1,N8V
3.117267251,3.718212315,2.994408974,2.854597266,N8W
3.688894599,4.516039231,2.889631248,3.560880552,N8X
4.421591992,4.358817922,2.990943756,2.5042898,N8Y
3.64344953,3.87238336,3.2762551,4.119101472,N9A
3.106732801,4.325250299,2.667401488,4.520345366,N9B
3.670147188,4.258397283,3.318719336,4.199521952,N9C
2.046874401,2.836227051,3.340615538,3.704495803,N9E
1.916488118,2.18294702,2.9040709,4.056680951,N9G
2.117795389,1.930925793,3.409402017,3.267201009,N9H
1.854514727,1.611298889,2.222790922,2.691308547,N9J
1.267975402,1.745979186,2.311967833,3.478003784,N9K
2.389510699,2.370041597,3.131051932,1.921394571,N9V
2.547123753,2.808161749,4.073498196,1.815803439,N9Y
3.080108745,3.761259628,4.680063435,1.109243317,P0A
3.021753876,2.746802326,4.125193798,1.16245155,P0B
3.014753285,2.573890404,4.844160674,1,P0C
2.757882624,3.595512083,4.241311853,1.070195627,P0E
2.930676237,2.79618436,4.770306007,1,P0G
2.611214901,3.478236623,4.19331902,1.243593676,P0H
3.035349644,3.784241957,4.230398767,1.282508187,P0J
3.041954203,4.024623588,4.551442911,1.131351945,P0K
3.173874249,3.987508179,3.573553031,1.31693534,P0L
2.99245427,3.254332576,3.618550888,1.526708569,P0M
2.812406577,3.288739412,2.890881913,1.375269889,P0N
2.940056219,3.883345046,4.685945186,1.101475755,P0P
2.839791525,3.914495052,4.724072815,1.143741974,P0R
2.80419094,3.507434136,4.079036606,1.165463873,P0S
2.60724116,3.480880796,4.110438281,1.253609994,P0T
2.86237572,3.298796442,2.876504448,1.2718472,P0V
2.171759747,3.285739375,3.817175975,1.165788549,P0W
2.70144357,3.121172353,4.677384077,1.097331584,P0X
3,5,5,1,P0Y
3.674139403,3.672147937,3.325348506,2.091948791,P1A
3.838056018,3.642157799,3.322087981,1.997381842,P1B
1.71698762,1.48366575,2.800034388,2.249312242,P1C
3.248284438,2.963800488,4.204025238,1.398747294,P1H
3.197843666,2.921132075,4.022803235,1.323342318,P1L
3.374037766,3.286005658,4.51358642,1.3779196,P1P
3.33075242,3.293662192,4.497596004,1.307087106,P2A
3.448828607,4.166650858,4.49027791,1.597363179,P2B
4.177044724,4.074252533,4.278354337,1.056585125,P2N
3.787496162,3.464729813,3.621123733,2.354198649,P3A
3.99534679,3.879708231,2.823555304,2.514053952,P3B
4.895231342,4.660403002,3.095727708,2.300183183,P3C
3.692841783,2.826213114,3.412989974,2.135651183,P3E
2.224608344,1.819574019,3.162471396,1.54937511,P3G
2.821841014,2.864334567,2.061890346,1.920506783,P3L
1.958627649,2.517457114,2.76024218,1.757416751,P3N
1.912086598,2.561449674,2.463847856,2.150230249,P3P
2.469965599,2.227838052,3.052130193,1.647790421,P3Y
3.395317562,3.755761355,2.756464332,1.706675225,P4N
2.288877705,2.912934071,1.779567187,2.462757927,P4P
2.037703646,2.36943367,1.689216447,1.723972071,P4R
4.103528536,4.836793595,5,1.21161903,P5A
3.338349766,3.658709566,4.533471718,1.410482615,P5E
3.426703815,3.800364338,4.207029576,1.292434634,P5N
3.158028018,3.006807146,3.950584299,1.833538554,P6A
3.744151097,3.386677498,4.461616572,2.037408611,P6B
3.28237085,3.849395871,3.806250595,1.686947008,P6C
3.690533041,3.444372741,3.936370676,1.518101446,P7A
3.594179553,3.45514748,3.692618843,2.327820733,P7B
3.505641692,3.292718565,3.507468139,2.015829207,P7C
3.965859453,3.721894398,3.806192045,1.637290214,P7E
1.922561526,1.800412318,3.057853369,2.078598119,P7G
1.54072327,1.669339623,2.897798742,1.919968553,P7J
1.907543742,1.68084903,3.419160532,1.492781337,P7K
2,2.991240876,3.722141119,1.258394161,P7L
3.557843007,3.517200159,3.930402444,1.437906761,P8N
3.513867188,3.702148438,1.3453125,1.893359375,P8T
3.364238411,3.519289393,3.578156207,1.431830127,P9A
3.398505444,3.379243703,3.377633189,1.382980094,P9N
5,1,1,4,M5X
5,1,1,4,M5L
5,1,1,4,M5K
4,1,5,3,M7Y
4,1,5,4,M7R
